contract_transaction_unique_key,award_id_piid,recipient_name,awarding_agency_name,awarding_sub_agency_name,product_or_service_code_description,naics_description,action_date,federal_action_obligation,total_dollars_obligated,extent_competed,type_of_contract_pricing,award_type
3600_4730_36C24119F0229_P00010_GS06F0002N_0,36C24119F0229,KONE INC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- ROPE, CABLE, CHAIN, AND FITTINGS",OTHER BUILDING EQUIPMENT CONTRACTORS,2024-09-18,-9891.51,2714552.65,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4730_36C24419N0566_P00009_GS07F5934R_0,36C24419N0566,GOVERNMENT SCIENTIFIC SOURCE INC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,2023-10-18,-4443.1,127516.75,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C24124F0052_0_GS35F425CA_0,36C24124F0052,MIM SOFTWARE INC,Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),SOFTWARE PUBLISHERS,2023-12-11,29300.66,29300.66,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C24423F0011_P00002_GS00F243DA_0,36C24423F0011,ROCKITDATA LLC,Department of Veterans Affairs,Department of Veterans Affairs,PHOTO/MAP/PRINT/PUBLICATION- ARTS/GRAPHICS,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2023-10-01,13160.0,26216.0,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C24524F0318_0_GS21F0041Y_0,36C24524F0318,PHIGENICS LLC,Department of Veterans Affairs,Department of Veterans Affairs,QUALITY CONTROL- WATER PURIFICATION AND SEWAGE TREATMENT EQUIPMENT,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,2024-03-12,10674.0,10674.0,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C25622F0199_P00002_47QRAA20D0088_0,36C25622F0199,CALADWICH CONSULTING LLC,Department of Veterans Affairs,Department of Veterans Affairs,TECHNICAL REPRESENTATIVE- MISCELLANEOUS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",2024-06-03,212079.75,792979.5,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C10A19F0320_P00025_GS00Q17NSD3006_0,36C10A19F0320,"LUMEN TECHNOLOGIES GOVERNMENT SOLUTIONS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,WIRED TELECOMMUNICATIONS CARRIERS,2023-10-01,1953561.0,30990219.44,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C24824F0273_0_47QSWA21D0026_0,36C24824F0273,PHOENIX TEXTILE CORPORATION,Department of Veterans Affairs,Department of Veterans Affairs,"CLOTHING, SPECIAL PURPOSE",CURTAIN AND LINEN MILLS,2024-07-26,26727.93,26727.93,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C26320F0057_P00007_47QTCA20D0034_0,36C26320F0057,"PHARMACY ONESOURCE, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SOFTWARE PUBLISHERS,2024-04-29,78818.85,411386.11,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C25024F1238_0_GS35F421DA_0,36C25024F1238,TOBII DYNAVOX LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",ELECTRONIC COMPUTER MANUFACTURING,2024-09-26,14077.84,14077.84,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C26323F0127_P00001_47QTCA22D006J_0,36C26323F0127,ALVAREZ LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SOFTWARE PUBLISHERS,2024-09-03,-405.3,258342.79,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
