recipient_name,canonical_vendor_name,vendor_id
"""MARY MILLS & ASSOCIATES, LLC""","""MARY MILLS & ASSOCIATES, LLC""",V00001
(XRB) CONSTRUCTION SERVICES LLC,(XRB) CONSTRUCTION SERVICES LLC,V00002
0369 SECURITY SOLUTIONS SERVICES LLC,0369 SECURITY SOLUTIONS SERVICES LLC,V00003
"1 SOURCE CONSULTING, INC.","1 SOURCE CONSULTING, INC.",V00004
10 WOODLAND DRIVE OPERATIONS LLC,10 WOODLAND DRIVE OPERATIONS LLC,V00005
"100 E HIGHLAND DRIVE OPERATING COMPANY, LLC","100 E HIGHLAND DRIVE OPERATING COMPANY, LLC",V00006
101 CAMEO APPEARANCES LLC,101 CAMEO APPEARANCES LLC,V00007
101 MOBILITY LLC,101 MOBILITY LLC,V00008
105 CHESTER ROAD OPERATIONS LLC,105 CHESTER ROAD OPERATIONS LLC,V00009
1073849 ONTARIO LTD,1073849 ONTARIO LTD,V00010
"10GFEDSUPPLY, LLC","10GFEDSUPPLY, LLC",V00011
"10X GENOMICS, INC.","10X GENOMICS, INC.",V00012
"11 SERIES ENERGY, INC.","11 SERIES ENERGY, INC.",V00013
1102 CO.,1102 CO.,V00014
"1106 DESIGN, LLC","1106 DESIGN, LLC",V00015
"1109 UNIVERSITY PARKWAY HOLDINGS, LLC","1109 UNIVERSITY PARKWAY HOLDINGS, LLC",V00016
"1130 W. LA PALMA AVE, INC.","1130 W. LA PALMA AVE, INC.",V00017
"1135 N. LEISURE CT., INC.","1135 N. LEISURE CT., INC.",V00018
11400 LLC,11400 LLC,V00019
1199 JOHN FITCH HIGHWAY OPERATOR LLC,1199 JOHN FITCH HIGHWAY OPERATOR LLC,V00020
11TH HOUR SERVICE LLC,11TH HOUR SERVICE LLC,V00021
1248 HOSPITAL DRIVE OPERATIONS LLC,1248 HOSPITAL DRIVE OPERATIONS LLC,V00022
1445 HOWELL AVENUE OPERATIONS LLC,1445 HOWELL AVENUE OPERATIONS LLC,V00023
1465 OAKFIELD DRIVE OPERATIONS LLC,1465 OAKFIELD DRIVE OPERATIONS LLC,V00024
1650 GALISTEO STREET OPERATIONS LLC,1650 GALISTEO STREET OPERATIONS LLC,V00025
175 BLUEBERRY LANE OPERATIONS LLC,175 BLUEBERRY LANE OPERATIONS LLC,V00026
1750 ELM STREET LLC,1750 ELM STREET LLC,V00027
"17TH ST PHOTO SUPPLY, INC.","17TH ST PHOTO SUPPLY, INC.",V00028
"1922 COMMERCIAL, LLC","1922 COMMERCIAL, LLC",V00029
1ACCESSABILITY HOME MODIFICATIONS LLC,1ACCESSABILITY HOME MODIFICATIONS LLC,V00030
"1ST AMERICAN MEDICAL DISTRIBUTORS, INC.","1ST AMERICAN MEDICAL DISTRIBUTORS, INC.",V00031
"1ST CHOICE ALL PURPOSE CLEANING, LLC","1ST CHOICE ALL PURPOSE CLEANING, LLC",V00032
