name_a,name_b,similarity_score
ADVANCE PROSTHETICS AND ORTHOTICS,ADVANCED PROSTHETICS AND ORTHOTICS,98.51
AMERICAN VETERANS SERVICES,AMERICAN VETERAN SERVICES,98.04
VETERANS FIRST HEALTHCARE,VETERANS FIRST HEALTH CARE,98.04
WESTCOAST BRACE & LIMB,WEST COAST BRACE & LIMB,97.78
TURN-KEY TECHNOLOGIES,TURNKEY TECHNOLOGIES,97.56
MARQUIS COMPANIES II,MARQUIS COMPANIES I,97.44
HANGER PROSTHETICS & ORTHOTICS WEST,HANGER PROSTHETICS & ORTHOTICS EAST,97.14
VETERANS ELECTRIC,VETERAN ELECTRIC,96.97
SOUTHEAST LOUISIANA VETERANS HOME,SOUTHWEST LOUISIANA VETERANS HOME,96.97
WINNIE-STOWELL HOSPITAL DISTRICT,WINNIE STOWELL HOSPITAL DISTRICT,96.88
MGC SERVICES A JOINT VENTURE 2,MGC SERVICES A JOINT VENTURE,96.55
DYNAMIC GOVERNMENT RESOURCES 2,DYNAMIC GOVERNMENT RESOURCES,96.55
RENAL TREATMENT CENTERS - WEST,RENAL TREATMENT CENTERS-WEST,96.55
CENTER FOR ORTHOTIC & PROSTHETIC CARE OF NORTH CAROLINA,CENTER FOR ORTHOTIC AND PROSTHETIC CARE OF NORTH CAROLINA,96.43
MOBILITYWORKS,MOBILITY WORKS,96.3
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON THE,96.3
CENTER FOR ORTHOTIC & PROSTHETIC CARE OF KENTUCKY,CENTER FOR ORTHOTIC AND PROSTHETIC CARE OF KENTUCKY,96.0
POTOMAC VALOR HEALTHCARE 2,POTOMAC VALOR HEALTHCARE,96.0
GUARD FORCE,GUARD FORCES,95.65
NORTHWESTERN UNIVERSITY,NORTHEASTERN UNIVERSITY,95.65
HEALTH AND HOSPITAL CORP OF MARION COUNTY THE,HEALTH & HOSPITAL CORP OF MARION COUNTY THE,95.45
CARDINAL HEALTH PR 120,CARDINAL HEALTH PR 220,95.45
SOUTH DADE AIR CONDITIONING AND REFRIGERATION,SOUTH DADE AIR CONDITIONING & REFRIGERATION,95.45
PARAGON TECHNOLOGIES,PARAGONIX TECHNOLOGIES,95.24
REGENTS OF THE UNIVERSITY OF CALIFORNIA THE,REGENTS OF THE UNIVERSITY OF CALIFORNIA,95.12
CLEAR VANTAGE POINT SOLUTIONS,CLEAR VANTAGE POINT SOLUTIONS II,95.08
PARADIGM ENGINEERS AND CONSTRUCTORS PLLC,PARADIGM ENGINEERS & CONSTRUCTORS PLLC,94.87
MEDICAL UNIVERSITY OF SOUTH CAROLINA THE,MEDICAL UNIVERSITY OF SOUTH CAROLINA,94.74
SPEES-HERNANDEZ JV,SPEES-HERNANDEZ JV 2,94.74
WFV 3 CONSTRUCTION,WFV 2 CONSTRUCTION,94.44
REGENTS OF THE UNIVERSITY OF MINNESOTA,REGENTS OF UNIVERSITY OF MINNESOTA,94.44
WFV 3 CONSTRUCTION,WFV 4 CONSTRUCTION,94.44
WFV 4 CONSTRUCTION,WFV 2 CONSTRUCTION,94.44
PRIORITY 5 HOLDINGS,PRIORITY HOLDINGS,94.44
OPTUM PHARMACY 801,OPTUM PHARMACY 601,94.44
AMERICAN ORTHOTICS AND PROSTHETICS,AMERICAN ORTHOPEDICS AND PROSTHETICS,94.29
PRECISION ORTHOTICS & PROSTHETICS,PRECISION ORTHOTICS AND PROSTHETICS,94.12
AMERI CON,AMERICON,94.12
PARTYTIME RENTALS,PARTY TIME RENTAL,94.12
WFV CONSTRUCTION,WFV 2 CONSTRUCTION,94.12
WFV CONSTRUCTION,WFV 4 CONSTRUCTION,94.12
WFV CONSTRUCTION,WFV 3 CONSTRUCTION,94.12
NORTH BAY PROSTHETICS AND ORTHOTICS,NORTH BAY PROSTHETICS & ORTHOTICS,94.12
ADVANCED PROSTHETICS AND ORTHOTICS,ADVANCED PROSTHETICS & ORTHOTICS,93.94
ADVANCED ORTHOPEDICS & PROSTHETICS,ADVANCED ORTHOTICS & PROSTHETICS,93.94
WATERVILLE SNF OPERATIONS,WATERVIEW SNF OPERATIONS,93.88
UNIVERSITY SURGICAL ASSOCIATES,UNIVERSITY UROLOGICAL ASSOCIATES,93.55
MOBILE PROSTHETICS & ORTHOTICS,MOBILITY PROSTHETICS & ORTHOTICS,93.55
PHILIPS NORTH AMERICA,PHILIPS RS NORTH AMERICA,93.33
IDAHO PROSTHETICS AND ORTHOTICS,IDAHO PROSTHETICS & ORTHOTICS,93.33
CAPITAL PROSTHETIC & ORTHOTICS CENTER,CAPITAL PROSTHETIC AND ORTHOTIC CENTER,93.33
ADAPTIVE TECHNOLOGIES,ADAPTIVE BIOTECHNOLOGIES,93.33
HANGER PROSTHETICS & ORTHOTICS,HANGER PROSTHETICS & HOSTICS,93.1
THE REMI GROUP,THE REID GROUP,92.86
HEALTH AND HOSPITAL CORP OF MARION COUNTY THE,HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY THE,92.78
UNIVERSITY OF MARYLAND NEUROSURGERY ASSOCIATES PA,UNIVERSITY OF MARYLAND NEUROLOGY ASSOCIATES PA,92.63
NORTHERN ORTHOTICS & PROSTHETICS,NORTHWEST ORTHOTICS & PROSTHETICS,92.31
FDCD JOINT VENTURE,FDCD II JOINT VENTURE,92.31
HANGER PROSTHETICS & ORTHOTICS,HANGER PROSTHETICS & ORTHOTICS EAST,92.31
HANGER PROSTHETICS & ORTHOTICS,HANGER PROSTHETICS & ORTHOTICS WEST,92.31
ADVANTAGE PROSTHETICS & ORTHOTICS,ADVANCED PROSTHETICS & ORTHOTICS,92.31
ADVANCE PROSTHETICS AND ORTHOTICS,ADVANCED PROSTHETICS & ORTHOTICS,92.31
DAX/GBAB JV 4,DAX/GBAB JV 3,92.31
ADVANCED ORTHOTICS & PROSTHETICS,ADVANCE ORTHOTICS AND PROSTHETICS,92.31
ORTHOTIC PROSTHETIC SPECIALIST,ORTHOTIC & PROSTHETIC SPECIALTIES,92.06
PAN-O-GOLD BAKING,PAN-O-GOLD BAKING CO,91.89
DAX/GBAB JV 3,DAX/GBAB JV,91.67
AMERICAN VETERAN SOLUTIONS,AMERICAN VET SOLUTIONS,91.67
DAX/GBAB JV 4,DAX/GBAB JV,91.67
SIGNATURE CHOICE,SIGNATURE CHOICE II,91.43
VANDERBILT UNIVERSITY,VANDERBILT UNIVERSITY THE,91.3
ORTHO-CLINICAL DIAGNOSTICS,ORTHO-CLINICAL DIAGNOSTICS GMBH,91.23
REGENTS OF THE UNIVERSITY OF MICHIGAN,REGENTS OF THE UNIVERSITY OF CA,91.18
VOLUNTEERS OF AMERICA OHIO & INDIANA,VOLUNTEERS OF AMERICA OF INDIANA,91.18
NORTHWEST ORTHOTICS & PROSTHETICS,NORTHEAST ORTHOTICS AND PROSTHETICS,91.18
LIFESERVE BLOOD CENTER,LIFESHARE BLOOD CENTER,90.91
BELL MEDIA,BELL MEDICAL,90.91
RESPONDER SYSTEMS,RESPONSE SYSTEMS,90.91
UNIVERSITY OF MARYLAND ANESTHESIOLOGY ASSOCIATES PA,UNIVERSITY OF MARYLAND NEUROLOGY ASSOCIATES PA,90.72
UNIVERSITY OF MARYLAND NEUROLOGY ASSOCIATES PA,UNIVERSITY OF MARYLAND EYE ASSOCIATES PA,90.7
RIVERSIDE HOME MEDICAL SUPPLY,RIVERSIDE MEDICAL SUPPLY,90.57
UNITED SITE SERVICES OF GEORGIA,UNITED SITE SERVICES OF FLORIDA,90.32
FFE - HEAPY JV,FFE - HEAPY JV-II,90.32
WASTE MANAGEMENT OF IOWA,WASTE MANAGEMENT OF ARIZONA,90.2
NORTH NURSING AND REHAB,NORTH LAKE NURSING AND REHAB,90.2
WATERS OF BRISTOL A REHABILITATION & NURSING CENTER,WATERS OF MEMPHIS A REHABILITATION & NURSING CENTER,90.2
CENTER FOR PROSTHETICS ORTHOTICS,CENTER FOR PROSTHETICS & ORTHOTICS PLLC,90.14
CARL ZEISS MEDITEC,CARL ZEISS MEDITEC USA,90.0
GUIDON MES JV,GUIDON MES JV II,89.66
THE RAPID GROUP,THE REID GROUP,89.66
PROGRESSIVE ELDERCARE SERVICES,PROGRESSIVE ELDERCARE SERVICES-SALINE,89.55
VETERAN LED SOLUTIONS,VETERAN SOLUTIONS,89.47
CARDINAL HEALTH 200,CARDINAL HEALTH 108,89.47
CARDINAL HEALTH 414,CARDINAL HEALTH 108,89.47
VETERAN LED SOLUTIONS,VETERAN ELEVATED SOLUTIONS,89.36
REBOUND ORTHOTICS & PROSTHETICS,REBOUND ORTHOTICS & PROST,89.29
INTEGRATED FIRE & SECURITY SOLUTIONS,INTEGRATED SECURITY SOLUTIONS,89.23
SGJV,SGJV2,88.89
CASELLA WASTE MANAGEMENT OF NY,CASELLA WASTE MANAGEMENT,88.89
MARTIN BIONICS CLINICAL CARE,MARTIN BIONICS CLINICAL CARE DALLAS,88.89
VYAIRE MEDICAL 203,VYAIRE MEDICAL 211,88.89
ACADIAN AMBULANCE SERVICE OF TENNESSEE,ACADIAN AMBULANCE SERVICE OF TEXAS,88.89
VALOR CONSTRUCTION,VALOR CONSTRUCTORS,88.89
NORTH BAY PROSTHETICS AND ORTHOTICS,NORTH SHORE PROSTHETICS AND ORTHOTICS,88.89
ONCOR,ONCO,88.89
REGENTS OF THE UNIVERSITY OF CALIFORNIA,REGENTS OF THE UNIVERSITY OF CA,88.57
